Core Code,Site Name,Item Description,Latitude,Latitude Hemisphere,Longitude,Longitude Hemisphere,physical_coordinates,Geometry WKT,Country,Region,Altitude,Water Depth,Collection Year,Collection Date,Project,Core Type,Format,Recovery Length,Storage Location,Delivered To,Chief Scientist,Cruise Name,Cruise Leader,Core Provider,Owner,Age Uncalibrated,Age Uncalibrated SD,Basal Age,Basal Age Calibrated,Oldest Sample Age,Publication,Cruise Report,Notes,Comments,
sample_alias,locality,description,decimalLatitude,LatitudeHemisphere,decimalLongitude,LongitudeHemisphere,physical_coordinates,footprintWKT,geo_loc_name,higherGeography,elev,depth,year,collection_date,project_name,samplingProtocol,preparationType,core_length,storage_location,custodian,collected_by,eventID,recordedBy,institutionCode,ownerInstitutionCode,age,ageUncertainty,basal_age_14C_BP,basal_age_cal_BP,oldest_sample_age_cal_BP,bibliographicCitation,associatedReferences,occurrenceRemarks,eventRemarks,source
F4398,Off Scorebysund (Greenland Sea),HH13 091 PC #1 0-100,70.062718,N,-17.769286,W,01.27.13.06,POINT(-17.769286 70.062718),,,,1619.62,2013,30.06.2013,OAFS and Paleo-CIRCUS,Piston Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4399,Off Scorebysund (Greenland Sea),HH13 091 PC #2 100-200,70.062718,N,-17.769286,W,01.27.13.07,POINT(-17.769286 70.062718),,,,1619.62,2013,30.06.2013,OAFS and Paleo-CIRCUS,Piston Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4400,Off Scorebysund (Greenland Sea),HH13 091 PC #3 200-300,70.062718,N,-17.769286,W,01.27.13.09,POINT(-17.769286 70.062718),,,,1619.62,2013,30.06.2013,OAFS and Paleo-CIRCUS,Piston Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4401,Off Scorebysund (Greenland Sea),HH13 091 PC #4 300-367,70.062718,N,-17.769286,W,01.27.13.08,POINT(-17.769286 70.062718),,,,1619.62,2013,30.06.2013,OAFS and Paleo-CIRCUS,Piston Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4402,Off Scorebysund (Greenland Sea),HH13 091 PC #5 367-467,70.062718,N,-17.769286,W,01.27.14.01,POINT(-17.769286 70.062718),,,,1619.62,2013,30.06.2013,OAFS and Paleo-CIRCUS,Piston Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4403,Off Scorebysund (Greenland Sea),HH13 091 PC #6 467-567,70.062718,N,-17.769286,W,01.27.14.02,POINT(-17.769286 70.062718),,,,1619.62,2013,30.06.2013,OAFS and Paleo-CIRCUS,Piston Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4404,Off Scorebysund (Greenland Sea),HH13 091 PC #7 567-667,70.062718,N,-17.769286,W,01.27.14.03,POINT(-17.769286 70.062718),,,,1619.62,2013,30.06.2013,OAFS and Paleo-CIRCUS,Piston Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4405,Off Scorebysund (Greenland Sea),HH13 091 PC #8 667-767,70.062718,N,-17.769286,W,01.27.14.04,POINT(-17.769286 70.062718),,,,1619.62,2013,30.06.2013,OAFS and Paleo-CIRCUS,Piston Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4664,Central Nordic Sea,HH13 GC 073 #1 0-100,68.200224,N,3.160552,E,01.04.02.07,POINT(3.160552 68.200224),,,,1673.52,2013,26.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4665,Central Nordic Sea,HH13 GC 073 #2 100-200,68.200224,N,3.160552,E,01.04.02.06,POINT(3.160552 68.200224),,,,1673.52,2013,26.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4666,Central Nordic Sea,HH13 GC 073 #3 200-300,68.200224,N,3.160552,E,01.04.02.05,POINT(3.160552 68.200224),,,,1673.52,2013,26.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4667,Central Nordic Sea,HH13 GC 073 #4 300-400,68.200224,N,3.160552,E,01.04.02.04,POINT(3.160552 68.200224),,,,1673.52,2013,26.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4668,Central Nordic Sea,HH13 GC 073 #5 400-508,68.200224,N,3.160552,E,01.04.02.03,POINT(3.160552 68.200224),,,,1673.52,2013,26.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Unopened,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4680a,Off Scorebysund (Greenland Sea),HH13 GC 093 #1 0-100 archive,70.835703,N,-17.048711,W,02.10.07.05,POINT(-17.048711 70.835703),,,,1607.01,2013,01.07.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,https://dx.doi.org/10.1111/bor.12340,https://doi.org/10.7557/cage.6842,,,Floyalager
F4681a,Off Scorebysund (Greenland Sea),HH13 GC 093 #2 100-200 archive,70.835703,N,-17.048711,W,02.10.05.01,POINT(-17.048711 70.835703),,,,1607.01,2013,01.07.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,https://dx.doi.org/10.1111/bor.12340,https://doi.org/10.7557/cage.6842,,,Floyalager
F4682a,Off Scorebysund (Greenland Sea),HH13 GC 093 #3 200-300 archive,70.835703,N,-17.048711,W,02.10.05.02,POINT(-17.048711 70.835703),,,,1607.01,2013,01.07.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,https://dx.doi.org/10.1111/bor.12340,https://doi.org/10.7557/cage.6842,,,Floyalager
F4683a,Off Scorebysund (Greenland Sea),HH13 GC 093 #4 300-400 archive,70.835703,N,-17.048711,W,02.10.05.03,POINT(-17.048711 70.835703),,,,1607.01,2013,01.07.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,https://dx.doi.org/10.1111/bor.12340,https://doi.org/10.7557/cage.6842,,,Floyalager
F4684b,Off Scorebysund (Greenland Sea),HH13 GC 093 #5 400-459 work,70.835703,N,-17.048711,W,02.10.07.08,POINT(-17.048711 70.835703),,,,1607.01,2013,01.07.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,https://dx.doi.org/10.1111/bor.12340,https://doi.org/10.7557/cage.6842,,,Floyalager
F4690b,Off Scorebysund (Greenland Sea),HH13-089-GC #1 0-100 work,70.082587,N,-17.748513,W,01.16.05.05,POINT(-17.748513 70.082587),,,,1615.61,2013,30.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,https://dx.doi.org/10.1111/bor.12340,https://doi.org/10.7557/cage.6842,,,Floyalager
F4691,Off Scorebysund (Greenland Sea),HH13-089-GC #2 100-200 work,70.082587,N,-17.748513,W,01.16.05.04,POINT(-17.748513 70.082587),,,,1615.61,2013,30.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,https://dx.doi.org/10.1111/bor.12340,https://doi.org/10.7557/cage.6842,,,Floyalager
F4692b,Off Scorebysund (Greenland Sea),HH13-089-GC #3 200-300 work,70.082587,N,-17.748513,W,01.16.05.05,POINT(-17.748513 70.082587),,,,1615.61,2013,30.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,https://dx.doi.org/10.1111/bor.12340,https://doi.org/10.7557/cage.6842,,,Floyalager
F4693,Off Scorebysund (Greenland Sea),HH13-089-GC #4 300-400 work,70.082587,N,-17.748513,W,01.16.05.03,POINT(-17.748513 70.082587),,,,1615.61,2013,30.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,https://dx.doi.org/10.1111/bor.12340,https://doi.org/10.7557/cage.6842,,,Floyalager
F4694b,Off Scorebysund (Greenland Sea),HH13-089-GC #5 400-497 work,70.082587,N,-17.748513,W,01.16.05.04,POINT(-17.748513 70.082587),,,,1615.61,2013,30.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,https://dx.doi.org/10.1111/bor.12340,https://doi.org/10.7557/cage.6842,,,Floyalager
F4699a,Northwestern Norwegian Sea margin,HH13 GC 071 #1 0-98 archive,66.683161,N,4.563251,E,01.03.14.05,POINT(4.563251 66.683161),,,,1222.19,2013,25.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4700a,Northwestern Norwegian Sea margin,HH13 GC 071 #2 98-200 archive,66.683161,N,4.563251,E,01.03.14.06,POINT(4.563251 66.683161),,,,1222.19,2013,25.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
F4701a,Northwestern Norwegian Sea margin,HH13 GC 071 #3 200-300 archive,66.683161,N,4.563251,E,01.03.14.07,POINT(4.563251 66.683161),,,,1222.19,2013,25.06.2013,OAFS and Paleo-CIRCUS,Gravity Core,Dtube,,,,,CAGE_13_OA_PaleoCIRCUS,"Rasmussen, Tine",,CAGE,,,,,,,https://doi.org/10.7557/cage.6842,,,Floyalager
